trial_id,body_trial,template_trial,split,frames,duration_ms,ended_by,base_freq_hz,com_rms_cm,com_max_cm,orientation_rms_deg,orientation_max_deg,size_kb
Expr113_Mov110__tpl_Expr113_Mov311,Expr113_Mov110,Expr113_Mov311,train,834,166.8,trajectory_end,202.92,0.0385,0.0573,16.65,22.58,442.1
Expr113_Mov112__tpl_Expr113_Mov010,Expr113_Mov112,Expr113_Mov010,train,730,146.0,trajectory_end,241.05,0.1533,0.2516,29.01,49.1,387.2
Expr113_Mov114__tpl_Expr113_Mov190,Expr113_Mov114,Expr113_Mov190,train,918,183.6,trajectory_end,234.6,0.0729,0.1109,26.39,44.87,486.0
Expr113_Mov116__tpl_Expr113_Mov121,Expr113_Mov116,Expr113_Mov121,train,855,171.0,trajectory_end,211.94,0.0601,0.1073,14.76,28.21,452.3
Expr113_Mov118__tpl_Expr113_Mov023,Expr113_Mov118,Expr113_Mov023,validation,531,106.2,trajectory_end,210.84,0.0513,0.0695,11.89,16.58,283.4
Expr113_Mov121__tpl_Expr113_Mov114,Expr113_Mov121,Expr113_Mov114,train,698,139.6,trajectory_end,213.26,0.0558,0.0895,15.13,32.11,371.1
Expr113_Mov125__tpl_Expr113_Mov219,Expr113_Mov125,Expr113_Mov219,train,1019,203.8,trajectory_end,208.25,0.0464,0.0726,17.22,31.13,537.8
Expr113_Mov127__tpl_Expr113_Mov063,Expr113_Mov127,Expr113_Mov063,train,665,133.0,trajectory_end,214.64,0.1293,0.2175,19.8,33.95,352.9
Expr113_Mov129__tpl_Expr113_Mov311,Expr113_Mov129,Expr113_Mov311,train,686,137.2,trajectory_end,202.92,0.1434,0.2106,26.5,38.77,363.9
Expr113_Mov132__tpl_Expr113_Mov023,Expr113_Mov132,Expr113_Mov023,validation,587,117.4,trajectory_end,210.84,0.0307,0.052,10.72,15.39,314.5
Expr113_Mov134__tpl_Expr113_Mov071,Expr113_Mov134,Expr113_Mov071,train,1064,212.8,trajectory_end,222.75,0.0289,0.0496,16.81,25.82,562.3
Expr113_Mov138__tpl_Expr113_Mov275,Expr113_Mov138,Expr113_Mov275,train,916,183.2,trajectory_end,233.86,0.0664,0.1154,23.5,41.01,484.5
Expr113_Mov148__tpl_Expr113_Mov127,Expr113_Mov148,Expr113_Mov127,train,465,93.0,trajectory_end,190.16,0.0449,0.0624,20.2,29.96,249.5
Expr113_Mov149__tpl_Expr113_Mov125,Expr113_Mov149,Expr113_Mov125,train,1138,227.6,trajectory_end,224.96,0.0523,0.0973,15.79,24.34,598.7
Expr113_Mov152__tpl_Expr113_Mov198,Expr113_Mov152,Expr113_Mov198,train,1288,257.6,trajectory_end,217.99,0.0357,0.0701,14.93,22.7,677.7
Expr113_Mov160__tpl_Expr113_Mov118,Expr113_Mov160,Expr113_Mov118,validation,476,95.2,trajectory_end,228.7,0.0842,0.1382,21.59,32.49,254.5
Expr113_Mov174__tpl_Expr113_Mov373,Expr113_Mov174,Expr113_Mov373,train,463,92.6,trajectory_end,211.66,0.0173,0.0349,11.79,16.94,249.3
Expr113_Mov177__tpl_Expr113_Mov073,Expr113_Mov177,Expr113_Mov073,validation,485,97.0,trajectory_end,227.26,0.1429,0.2077,22.93,31.78,259.8
Expr113_Mov186__tpl_Expr113_Mov374,Expr113_Mov186,Expr113_Mov374,train,638,127.6,trajectory_end,208.61,0.0529,0.0751,14.33,23.24,339.3
Expr113_Mov190__tpl_Expr113_Mov251,Expr113_Mov190,Expr113_Mov251,train,516,103.2,trajectory_end,218.6,0.0334,0.053,11.83,19.76,276.3
Expr113_Mov194__tpl_Expr113_Mov375,Expr113_Mov194,Expr113_Mov375,train,868,173.6,trajectory_end,206.82,0.032,0.0477,13.55,21.99,461.5
Expr113_Mov198__tpl_Expr113_Mov311,Expr113_Mov198,Expr113_Mov311,train,1247,249.4,trajectory_end,202.92,0.0355,0.0611,18.13,30.22,657.2
Expr113_Mov206__tpl_Expr113_Mov056,Expr113_Mov206,Expr113_Mov056,train,650,130.0,trajectory_end,231.18,0.07,0.1232,13.51,26.12,346.0
Expr113_Mov211__tpl_Expr113_Mov379,Expr113_Mov211,Expr113_Mov379,train,456,91.2,trajectory_end,201.52,0.0463,0.0662,23.99,32.57,245.4
Expr113_Mov214__tpl_Expr113_Mov206,Expr113_Mov214,Expr113_Mov206,train,642,128.4,trajectory_end,213.35,0.0391,0.0514,11.81,15.97,341.9
Expr113_Mov219__tpl_Expr113_Mov198,Expr113_Mov219,Expr113_Mov198,train,564,112.8,trajectory_end,217.99,0.0428,0.0678,13.09,22.43,301.3
Expr113_Mov221__tpl_Expr113_Mov009,Expr113_Mov221,Expr113_Mov009,train,1026,205.2,trajectory_end,226.27,0.0692,0.1426,19.92,36.99,541.5
Expr113_Mov223__tpl_Expr113_Mov063,Expr113_Mov223,Expr113_Mov063,train,901,180.2,trajectory_end,214.64,0.0397,0.0619,14.85,20.27,476.9
Expr113_Mov224__tpl_Expr113_Mov286,Expr113_Mov224,Expr113_Mov286,train,870,174.0,trajectory_end,210.74,0.087,0.1315,22.26,33.57,462.5
Expr113_Mov225__tpl_Expr113_Mov382,Expr113_Mov225,Expr113_Mov382,train,510,102.0,trajectory_end,208.93,0.0586,0.0965,13.01,27.47,272.6
Expr113_Mov227__tpl_Expr113_Mov100,Expr113_Mov227,Expr113_Mov100,train,698,139.6,trajectory_end,229.32,0.0567,0.0979,20.55,45.85,371.5
Expr113_Mov229__tpl_Expr113_Mov177,Expr113_Mov229,Expr113_Mov177,validation,619,123.8,trajectory_end,233.07,0.2677,0.3717,24.63,35.44,329.5
Expr113_Mov243__tpl_Expr113_Mov060,Expr113_Mov243,Expr113_Mov060,train,753,150.6,trajectory_end,223.0,0.1362,0.2207,27.6,46.14,398.7
Expr113_Mov245__tpl_Expr113_Mov125,Expr113_Mov245,Expr113_Mov125,train,521,104.2,trajectory_end,224.96,0.1708,0.2859,25.27,36.89,278.9
Expr113_Mov251__tpl_Expr113_Mov223,Expr113_Mov251,Expr113_Mov223,train,591,118.2,trajectory_end,209.65,0.1253,0.1985,26.26,41.92,315.2
Expr113_Mov253__tpl_Expr113_Mov194,Expr113_Mov253,Expr113_Mov194,train,927,185.4,trajectory_end,206.79,0.0494,0.1027,17.23,33.56,491.2
Expr113_Mov256__tpl_Expr113_Mov002,Expr113_Mov256,Expr113_Mov002,train,1107,221.4,trajectory_end,223.46,0.0355,0.0677,13.4,21.73,584.0
Expr113_Mov263__tpl_Expr113_Mov079,Expr113_Mov263,Expr113_Mov079,train,572,114.4,trajectory_end,208.81,0.1035,0.166,24.9,43.73,305.2
Expr113_Mov269__tpl_Expr113_Mov291,Expr113_Mov269,Expr113_Mov291,train,703,140.6,trajectory_end,208.26,0.1094,0.1704,17.72,29.05,373.4
Expr113_Mov275__tpl_Expr113_Mov243,Expr113_Mov275,Expr113_Mov243,train,633,126.6,trajectory_end,193.55,0.1076,0.1551,16.34,29.33,335.8
Expr113_Mov276__tpl_Expr113_Mov071,Expr113_Mov276,Expr113_Mov071,train,641,128.2,trajectory_end,222.75,0.0396,0.0807,16.35,32.08,342.1
Expr113_Mov279__tpl_Expr113_Mov149,Expr113_Mov279,Expr113_Mov149,train,524,104.8,trajectory_end,224.94,0.1928,0.3597,26.5,40.42,280.4
Expr113_Mov286__tpl_Expr113_Mov314,Expr113_Mov286,Expr113_Mov314,train,925,185.0,trajectory_end,209.53,0.0362,0.0779,14.78,25.42,490.6
Expr113_Mov291__tpl_Expr113_Mov087,Expr113_Mov291,Expr113_Mov087,train,666,133.2,trajectory_end,224.42,0.1648,0.2425,23.69,34.75,353.4
Expr113_Mov295__tpl_Expr113_Mov291,Expr113_Mov295,Expr113_Mov291,train,520,104.0,trajectory_end,208.26,0.0919,0.1663,19.2,25.58,278.7
Expr113_Mov305__tpl_Expr113_Mov110,Expr113_Mov305,Expr113_Mov110,train,916,183.2,trajectory_end,228.36,0.0977,0.1869,25.12,43.4,484.7
Expr113_Mov307__tpl_Expr113_Mov152,Expr113_Mov307,Expr113_Mov152,train,581,116.2,trajectory_end,227.83,0.1273,0.1907,25.73,43.02,309.3
Expr113_Mov311__tpl_Expr113_Mov295,Expr113_Mov311,Expr113_Mov295,train,1078,215.6,trajectory_end,218.96,0.0809,0.1253,19.4,40.63,570.4
Expr113_Mov314__tpl_Expr113_Mov366,Expr113_Mov314,Expr113_Mov366,train,1221,244.2,trajectory_end,208.17,0.1002,0.2029,18.62,37.34,643.6
Expr113_Mov315__tpl_Expr113_Mov056,Expr113_Mov315,Expr113_Mov056,train,910,182.0,trajectory_end,231.18,0.0338,0.0505,14.66,22.94,481.1
Expr113_Mov319__tpl_Expr113_Mov003,Expr113_Mov319,Expr113_Mov003,train,538,107.6,trajectory_end,223.12,0.0283,0.0456,10.28,17.05,287.5
Expr113_Mov328__tpl_Expr113_Mov224,Expr113_Mov328,Expr113_Mov224,train,818,163.6,trajectory_end,219.37,0.0723,0.1309,19.78,31.67,433.0
Expr113_Mov334__tpl_Expr113_Mov263,Expr113_Mov334,Expr113_Mov263,train,414,82.8,trajectory_end,208.78,0.0379,0.0625,16.29,22.31,223.1
Expr113_Mov336__tpl_Expr113_Mov174,Expr113_Mov336,Expr113_Mov174,train,655,131.0,trajectory_end,192.66,0.18,0.2682,24.09,40.53,347.5
Expr113_Mov340__tpl_Expr113_Mov110,Expr113_Mov340,Expr113_Mov110,train,540,108.0,trajectory_end,228.36,0.0278,0.0391,14.33,22.63,289.0
Expr113_Mov341__tpl_Expr113_Mov067,Expr113_Mov341,Expr113_Mov067,validation,784,156.8,trajectory_end,227.68,0.0963,0.1481,21.66,36.79,417.0
Expr113_Mov345__tpl_Expr113_Mov378,Expr113_Mov345,Expr113_Mov378,train,1325,265.0,trajectory_end,208.9,0.0595,0.1146,17.84,49.33,697.4
Expr113_Mov346__tpl_Expr113_Mov018,Expr113_Mov346,Expr113_Mov018,train,548,109.6,trajectory_end,179.35,0.1403,0.2912,23.71,39.26,292.5
Expr113_Mov347__tpl_Expr113_Mov378,Expr113_Mov347,Expr113_Mov378,train,572,114.4,trajectory_end,208.9,0.045,0.0579,13.25,23.53,305.7
Expr113_Mov353__tpl_Expr113_Mov010,Expr113_Mov353,Expr113_Mov010,train,601,120.2,trajectory_end,241.05,0.0315,0.0514,12.8,20.37,319.7
Expr113_Mov354__tpl_Expr113_Mov132,Expr113_Mov354,Expr113_Mov132,validation,481,96.2,trajectory_end,208.47,0.0878,0.2238,19.84,35.04,258.2
Expr113_Mov366__tpl_Expr113_Mov024,Expr113_Mov366,Expr113_Mov024,train,863,172.6,trajectory_end,215.65,0.0371,0.057,12.6,18.89,456.5
Expr113_Mov373__tpl_Expr113_Mov100,Expr113_Mov373,Expr113_Mov100,train,652,130.4,trajectory_end,229.32,0.0291,0.0744,12.43,20.71,347.9
Expr113_Mov374__tpl_Expr113_Mov009,Expr113_Mov374,Expr113_Mov009,train,918,183.6,trajectory_end,226.27,0.0352,0.0714,16.01,34.88,486.2
Expr113_Mov375__tpl_Expr113_Mov116,Expr113_Mov375,Expr113_Mov116,train,745,149.0,trajectory_end,204.78,0.0385,0.103,12.15,17.76,395.7
Expr113_Mov377__tpl_Expr113_Mov003,Expr113_Mov377,Expr113_Mov003,train,610,122.0,trajectory_end,223.12,0.2295,0.3733,19.45,33.99,324.3
Expr113_Mov378__tpl_Expr113_Mov102,Expr113_Mov378,Expr113_Mov102,train,703,140.6,trajectory_end,215.37,0.2367,0.4018,21.8,43.74,372.5
Expr113_Mov379__tpl_Expr113_Mov097,Expr113_Mov379,Expr113_Mov097,train,814,162.8,trajectory_end,224.16,0.043,0.0642,12.44,20.89,431.3
Expr113_Mov380__tpl_Expr113_Mov375,Expr113_Mov380,Expr113_Mov375,train,561,112.2,trajectory_end,206.82,0.1408,0.2101,22.87,32.67,300.1
Expr113_Mov382__tpl_Expr113_Mov286,Expr113_Mov382,Expr113_Mov286,train,665,133.0,trajectory_end,210.74,0.2521,0.5998,14.4,22.19,352.9
